Start a new binary project.	cargo new --bin project_name Creates a new folder with necessary files.
Run a rust project.	cargo run
Clean up compiled files	cargo clean
Run all tests.	cargo test
Assign an integer.	let my_integer = 5
Assign an unsigned 32 bit integer.	let unsigned: u32 = 5
Assert that something is equal something else in a test.	assert_eq!(func(1, 1), 2)
What does cargo check do?	It quickly checks your code and makes sure it compiles, but does not produce an executable
How do you compile the project for a release?	cargo build --release
Create a mutable string	let mut string = String::new();
How to use an external crate?	extern crate this_crate; use this_crate;
Compare a value with another value	let num = 5 let num2 = 6 num.cmp(&num2) The cmp method can be called on anything that can be compared. It takes a reference. Returns an enum of Ordering.
What is the following an example of: let value = 4; let value = 5; When is it used?	It's an example of shadowing a former value. Often used when you want to convert a value from one type to another type.
How to trim a string?	my_string.trim()
Parse a string into a number. What does the function return?	my_string.parse() The above returns a result, and needs to be handled.
How to create and exit an infinite loop?	loop { code // break; quits the loop }
"How to create a new string variable that contains the string ""hello""?"	"let string = String::from(""hello"")"
"let string = String::from(""5""); let number: u32 = string.parse(); // we need to do something here The parse function returns a result. How do extract the number? Don't use expect."	"let number: u32 = match string.parse() { Ok(num) => num, Err(_) => panic!(""fails"") } The above happens in a match statement. If parse succeeds it will match with num, otherwise it will panic. This opens up a way to handle errors gracefully."
What error will this give? let x = 6; x = 5;	You cannot assign twice to an immutable variable. To be able to do that you'll need to either make the variable mutable, or use let again to shadow the variable.
Assign a constant.	const MAX_POINTS = 100_000
What is isize and usize?	Depending on what computer you are running, it will either use the u64 and i64 type or the u32 and i32 type.
Make a tuple of 1, 2, and 3.	let tuple = (1, 2, 3); With type annotation: let tuple: (u32, u32, u32) = (1, 2, 3);
You have the tuple: let tuple = (1, 2, 3) Destructure it into three variables.	let (x, y, z) = tuple
Access the second item of the tuple: let tuple = (1, 2, 3);	tuple.1 // accesses the second item
Make an array, what are the disadvantages?	let a = [1, 2, ,3 , 4]; An array is not as flexible, for a more flexible data type use a vector. Arrays are fixed size, whereas vectors can expand.
Make a function with an integer parameter that returns an integer.	fn my_func(num: i32) -> i32 { num // writing a variable without semicolon returns the variable }
"Explain the following: let x = 10 let y = { let x = 3; x + 1 }; println!(""x: {}, y: {}"", x, y); What is the value of x and y?"	"x = 10, y = 4. y is assigned an expression that is a statement (the semicolon at the end). The expression is scoped. So x is different from the two different scopes. Since we don't have a semicolon in ""x + 1"", that gets returned and assigned to y."
Write an if statement.	"if number == 5 { println!(""Yup""); } else { println!(""Nope""); }"
Write a conditional expression equivalent to Python: my_var = 5 if condition else 3	let my_var = if condition { 5 } else { 3 }; This can take place over several lines too.
Write a while loop.	while number != 0 { number = number - 1; }
Loop through the following array: let array = [1, 2, 3];	"for num in array.iter() { println!(""{}"", num); }"
Reverse an array.	array.iter().rev() It is now an iterator that is reversed. You can iterate through that.
Create a range between 1 to 4 inclusive and exclusive.	let range_exclusive = (1..4); let range_inclusive = (1..=4);
"What is the different between ""hello"" and String::from(""hello"")?"	The first is a string literal, the second is a string type. The string literal is always immutable, taken from the stack and thus fast. It's hard coded into the executable. The String type is taken from the heap.
When is variables memory returned?	When a variable goes out of scope, rust calls a function drop that returns the memory the variable occupied.
"What happens in the following code: let s1 = String::from(""hello""); let s2 = s1; println!(""{}"", s1);"	s2 takes ownership over s1 so s1 is no longer valid. This happens because the string datatype does not implement copy, doing so would be expensive.
When is it useful to use the clone method?	If you want to deeply copy a variable that would have been moved otherwise.
When should you use a reference or an owned variable in a function?	If the function needs to modify the variable, you need to give the function ownership or alternatively a mutable reference. If it only needs to read the variable, it's better to pass the variable by reference. Example of signature: fn fun(s: &String) vs fn fun(s: String)
What is the * operator?	The opposite of reference, it's used to deference a variable *i = x; It can also be a glob operator when importing. use module::*
Can you modify a reference?	Yes. Using &mut.
What's the type of a string literal?	&'static str
Slice a string from 0 to 10.	"let s = String::from(""hello my string""); let sliced = &s[0..10]; The type of sliced is a string literal. The value is borrowed and is immutable."
If you need to handle string literals and String, what should the function signature be?	fn handle_string(s: &str) You can easily transform a String into a string literal.
Define a struct user that can be active and has email	struct User { email: String, active: bool }
How to allow debug print formatting of your own structs?	"#[derive(Debug)] struct MyStruct {} let struct = MyStruct { }; println!(""{:?}"", struct);"
How to define an area method for a rectangle struct. What if we need to mutate in method?	struct Rectangle { width: u32, height: u32} impl Rectangle { fn area(&self) -> u32 { self.width * self.height } } Only reading the data from rectangle. if we want to mutate, the signature needs to be &mut self.
Define an enum that has two variants, hello and world.	enum MyEnum { hello, world }; The two variants do not contain any types, but can do. You can store anything in an enum.
Can an enum have it's own methods?	Yes. Use impl MyEnum and implement the methods
What is the option enum?	The option enum is representing either the Some(value) or None.
Create an integer that can either be a number or none.	let integer = Some(5);
Assign None to a variable that can also be of the type i32.	let integer: Option<i32> = None;
Why is the Option type useful?	The Option is it's own type. It needs to be unwrapped to get the underlying type. This avoids the mistake of doing operations on None which could crash your program.
Use match to match the option Some(5).	let integer = Some(5); let sanitized = match integer { Some(num) => num, None => 0 }; In the above we're matching an option if it isn't None we return the number, if it is none we return 0. Match needs to be exhaustive.
How do you match all existing integers?	"Matches need to be exaustive. You can use _ as a placeholder. It will match every value. match integer { _ => println!(""matched"") }"
"What is ""if let""? Make an example using the option type."	A more concise way of doing match, but non-exaustive. It's a bit like the ternary operator in Python. let integer = Some(3); let new_value = if let Some(3) = integer { 3 } else { 0 }; // or if let Some(i) = integer { // some code } else { // some other code }
How to create a new library package?	cargo new mylib --lib
How do you create a module in a lib.rs?	"use ""mod"" i.e.: mod network { fn func() {} } creates a module called network."
"How do you create a module as an external file? We want to create a module ""client""."	"If we have the module ""client"", create a file called client.rs and in lib.rs type: mod client;"
Where does Rust look for modules? It happens in two places.	Rust only looks for modules in lib.rs, so you need to define all modules there for a package. If the module defined in lib.rs is a subdirectory it will look in mod.rs
Can you use cargo run for a library.	No, you need to use cargo build.
When do you use the mod.rs file?	"It's used when you have subdirectories when building a library. In mod.rs you would write ""use somefile;"" and in lib.rs you would write ""use subdirectory;"" i.e.: lib.rs subdirectory/mod.rs subdirectory/somefile.rs"
When building a library what is the default state, public or private?	All code is private. You need to use the pub to make a module function public. i.e. in lib.rs: pub mod client; mod network; client is public network is private
pub mod a { pub mod series { pub mod of { pub fn nested_modules() {} } } } Nested modules can be called with a::series::of::nested_modules() how do you shorten this?	use a::series::of; of::nested_modules();
"How do you bring in several variables into the scope from ""myModule""?"	use myModule::{func1, func2}; func1 and func2 is now available in that scope. You can do the same with enums etc etc.
Bring in everything from a module or enum.	use myModule::*; The glob operator.
Where is the data stored in vectors and in collection datatypes?	It is stored in the heap, which means that the amount of data is not known during compile time.
Mention three common collection types in Rust.	* String * Vector * Hash map
Create a vector with the type i32.	let v: Vec<i32> = Vec::new();
Create a vector with the vector macro.	let v = vec![1, 2, 3];
Can vectors store multiple types?	No, they can only store a single type. If you need to store multiple types you need to wrap it in a single type.
Name two ways of accessing the following vector: let v = vec![1, 2, 3];	v[0] and v.get(0)
How to iterate over a vector?	"for i in &v { println!(""{}"", i); }"
Add 10 to each number in a vector.	let mut v = vec![1, 2, 3]; for i in &mut v { *i += 10; } Without deferencing the type is &mut {integer}, the star operator is needed to dereference and make it an {integer}.
How is a String implemented?	It's implemented as a collection of bytes.
"Make the following string literal into a String: let data = ""hello world"";"	let s = data.into_string();
Extend a string.	"let s = String::new(); s.push_str(""hello"");"
What do you need to know when concatenating two strings? Would the following compile? s1 + s2	No it won't compile. It needs to be s1 + &s2. The add signature is add(self, s: &str) -> String. Thus the second argument needs to be a reference. Furthermore, s1 is moved and will no longer be valid after this.
How to format a string? I.e. similar to python.	"let s = format!(""{} - {} - {}"", s1, s2, s3);"
Is it possible to use indexing for a string? I.e. &s[0].	No, as a character can consist of several bytes the design decision was to not allow this to compile.
"What would happen if you slice the following: let s = ""日本"" s[0..2]"	You would cause a panic. The 1 index is not part of the char boundary, it is inside of 日. Doing s[0..3] would work though.
If you need to iterate over characters, how should you do it?	"for c in ""日本"".chars() { println!(""{}"", c); } It will return each character in turn."
How would you get the codepoint data of a string?	"""hello"".bytes()"
Create a HashMap.	"use std::collections::HashMap; let mut scores = HashMap::new(); scores.insert(""hello"", 10);"
Can you have different types or different keys in a hash map?	No, you can't all have to be the same type.
How to zip two arrays?	let arr1 = [1, 2]; let arr2 = [10, 12]; let zipped = arr1.iter().zip(arr2.iter());
What happens when you insert a variable in a HashMap?	The value will be moved into the hashmap. If on the other hand it has a copy trait it will be copied.
How to get a value from a hashmap?	"hashmap.get(""string""); It will return an Option."
How to iterate over a HashMap?	for (key, value) in &hashmap { // snip }
Insert a value only if key has no value in a hashmap.	"hashmap.insert(""hello"", 10); hashmap.entry(""hello"").or_insert(50); 50 is not inserted since there is already a key called hello."
Count the number of occurrences of a letter in a string, use a HashMap.	let mut hashmap = HashMap::new(); for char in text.chars() { let count = hashmap.entry(char).or_insert(0); *count += 1; }
How to sort a vector?	v.sort_by(|a, b| a.cmp(b)); or v.sort()
How to write a closure in Rust?	|val| val + x using inferred type |val: i32| val + x specified type
There are two error types in rust, what are they?	Result<T, E> - which is for a recoverable error. panic! - for an unrecoverable error which halts execution.
What happens when you panic?	Program starts to unwind. Rust walks back up the stack and cleans up the data from each function.
Is there an alternative to unwind the program upon panic?	"Yes, you can abort directly. Set the following in cargo.toml: [profile.release] panic = ""abort"""
What are the variants of the Result enum?	Either Ok or Err.
What does result.unwrap() do?	For a Result type unwrap will either return the value inside of Ok or call panic! if it is an Err.
Unwrap Some(None). Instead of None or Panic return something else.	Some(None).unwrap_or(3); returns three Some(None).unwrap_or_else(|| 2) takes a function call, in this case we are using a closure.
What does expect do?	It does the same thing as unwrap, ie on error it will panic! but it will allow you to set an error message.
What restrictions are there for modifying a mutable reference? Give an example.	"You can only have one mutable reference to a particular piece of data in a particular scope. ie code below will fail. let mut s = String::from(""hello"") let r1 = &mut s; let r2 = &mut s;"
